"","pred.ind","pred.var","avg.rank","avg.pval","country.count"
"295","NY.GNP.MKTP.CD","GNI (current US$)",166.889221556886,0.0958686498950011,167
"336","NE.DAB.TOTL.CD","Gross national expenditure (current US$)",166.5,0.096216917118442,168
"11","NY.ADJ.DKAP.CD","Adjusted savings: consumption of fixed capital (current US$)",174.74269005848,0.0963189705039672,171
"409","NV.IND.TOTL.KN","Industry, value added (constant LCU)",137.804347826087,0.0978854304581706,161
"275","NY.GDP.PCAP.CD","GDP per capita (current US$)",170.732352941176,0.0979643854260635,170
"773","NV.SRV.TETC.KN","Services, etc., value added (constant LCU)",134.540880503145,0.0997444460101049,159
"178","EG.USE.ELEC.KH.PC","Electric power consumption (kWh per capita)",182.313432835821,0.100146698166673,134
"408","NV.IND.TOTL.KD","Industry, value added (constant 2000 US$)",139.599358974359,0.101891894573937,156
"72","TM.TAX.MANF.BR.ZS","Bound rate, simple mean, manufactured products (%)",251.416666666667,0.101979814744027,36
"294","NY.GNP.MKTP.CN","GNI (current LCU)",168.979041916168,0.102661075837745,167
"251","NE.CON.TETC.CD","Final consumption expenditure, etc. (current US$)",178.146341463415,0.103424372976245,164
"362","NE.CON.PRVT.PC.KD","Household final consumption expenditure per capita (constant 2000 US$)",156.463087248322,0.104863323400717,149
"3","NY.ADJ.NNTY.CD","Adjusted net national income (current US$)",178.1,0.104989630330958,150
"369","NE.CON.PETC.CD","Household final consumption expenditure, etc. (current US$)",183.09509202454,0.105084495553512,163
"649","EN.URB.MCTY","Population in urban agglomerations of more than 1 million",180.276315789474,0.105225422884874,114
"772","NV.SRV.TETC.KD","Services, etc., value added (constant 2000 US$)",137.451612903226,0.105351560220886,155
"647","EN.URB.LCTY","Population in largest city",171.631756756757,0.105658946484599,148
"249","NE.CON.TETC.KN","Final consumption expenditure, etc. (constant LCU)",156.93288590604,0.106251479448488,149
"333","NE.DAB.TOTL.KD","Gross national expenditure (constant 2000 US$)",143.417763157895,0.106441219883671,152
"245","NE.CON.TOTL.CD","Final consumption expenditure (current US$)",185.716049382716,0.106462232651925,162
"346","NY.GDP.FCST.CD","Gross value added at factor cost (current US$)",178.194630872483,0.106583112518187,149
"326","NE.GDI.FTOT.CD","Gross fixed capital formation (current US$)",180.524844720497,0.107289813443047,161
"316","NE.GDI.TOTL.CD","Gross capital formation (current US$)",182.527272727273,0.108444610339049,165
"361","NE.CON.PRVT.CD","Household final consumption expenditure (current US$)",190.092024539877,0.108511869487187,163
"677","SH.STA.WAST.ZS","Prevalence of wasting (% of children under 5)",406,0.109646968473083,1
"248","NE.CON.TETC.KD","Final consumption expenditure, etc. (constant 2000 US$)",159.908783783784,0.110852056393164,148
"269","NY.GDP.MKTP.CN","GDP (current LCU)",168.66081871345,0.110940294922227,171
"262","AG.LND.FRST.K2","Forest area (sq. km)",198.170068027211,0.111611502595347,147
"2","NY.ADJ.NNTY.KD","Adjusted net national income (constant 2000 US$)",168.195652173913,0.112446306590977,138
"613","SH.MMR.DTHS","Number of maternal deaths",207.577380952381,0.112550921170475,168
"775","NV.SRV.TETC.CD","Services, etc., value added (current US$)",182.415151515152,0.113354291621383,165
"302","NY.GNP.ATLS.CD","GNI, Atlas method (current US$)",164.827380952381,0.114153322396262,168
"728","SP.RUR.TOTL.ZS","Rural population (% of total population)",181.127167630058,0.114373813652038,173
"883","SP.URB.TOTL.IN.ZS","Urban population (% of total)",180.971098265896,0.11437381365204,173
"13","NY.ADJ.AEDU.CD","Adjusted savings: education expenditure (current US$)",182.60736196319,0.114866601613274,163
"410","NV.IND.TOTL.CN","Industry, value added (current LCU)",178.289156626506,0.116532810736937,166
"498","TM.VAL.MRCH.WL.CD","Merchandise imports by the reporting economy (current US$)",201.133333333333,0.116657906777474,165
"656","SI.POV.GAPS","Poverty gap at $1.25 a day (PPP) (%)",291.5,0.116881669509801,6
"325","NE.GDI.FTOT.CN","Gross fixed capital formation (current LCU)",187.787037037037,0.117086267349544,162
"68","SP.DYN.CBRT.IN","Birth rate, crude (per 1,000 people)",188.080924855491,0.117477462919824,173
"388","NE.IMP.GNFS.CD","Imports of goods and services (current US$)",193.285714285714,0.117671467374259,168
"367","NE.CON.PETC.KN","Household final consumption expenditure, etc. (constant LCU)",168.204081632653,0.117820217259481,147
"261","AG.LND.FRST.ZS","Forest area (% of land area)",205.385135135135,0.117997666929881,148
"648","EN.URB.LCTY.UR.ZS","Population in the largest city (% of urban population)",204.761904761905,0.118395309413744,147
"25","NY.ADJ.DPEM.CD","Adjusted savings: particulate emission damage (current US$)",186.107142857143,0.11877704406029,168
"324","NE.GDI.FTOT.KN","Gross fixed capital formation (constant LCU)",185.472789115646,0.119252858147539,147
"477","NV.IND.MANF.KN","Manufacturing, value added (constant LCU)",177.332258064516,0.120572728409533,155
"288","NE.CON.GOVT.CN","General government final consumption expenditure (current LCU)",193.653374233129,0.120829122085479,163
"300","NY.GNP.PCAP.CD","GNI per capita, Atlas method (current US$)",168.982142857143,0.121065389925586,168
"366","NE.CON.PETC.KD","Household final consumption expenditure, etc. (constant 2000 US$)",169.778911564626,0.121342086264484,147
"411","NV.IND.TOTL.CD","Industry, value added (current US$)",187.121212121212,0.12208787845028,165
"603","NY.TAX.NIND.KN","Net taxes on products (constant LCU)",205.48905109489,0.122653767142426,137
"882","SP.URB.TOTL","Urban population",192.777456647399,0.125351001897943,173
"476","NV.IND.MANF.KD","Manufacturing, value added (constant 2000 US$)",182.030201342282,0.125777976340379,149
"75","FM.LBL.BMNY.CN","Broad money (current LCU)",192.835616438356,0.126686612102577,146
"650","EN.URB.MCTY.TL.ZS","Population in urban agglomerations of more than 1 million (% of total population)",210.115044247788,0.126737498982624,113
"314","NE.GDI.TOTL.KN","Gross capital formation (constant LCU)",192.233333333333,0.12865071200689,150
"644","SP.POP.65UP.TO.ZS","Population ages 65 and above (% of total)",202.022988505747,0.130908318403715,174
"645","EN.POP.DNST","Population density (people per sq. km of land area)",197.028901734104,0.131380030965658,173
"315","NE.GDI.TOTL.CN","Gross capital formation (current LCU)",193.198795180723,0.132067332256644,166
"386","NE.IMP.GNFS.KN","Imports of goods and services (constant LCU)",199.022727272727,0.133041301515944,154
"323","NE.GDI.FTOT.KD","Gross fixed capital formation (constant 2000 US$)",188.858108108108,0.134187785440956,148
"497","TM.VAL.MRCH.CD.WT","Merchandise imports (current US$)",207.218934911243,0.134379566261557,169
"652","SP.POP.TOTL","Population, total",195.384393063584,0.135603475438162,173
"335","NE.DAB.TOTL.CN","Gross national expenditure (current LCU)",181.07100591716,0.136273954387672,169
"9","NY.ADJ.DCO2.CD","Adjusted savings: carbon dioxide damage (current US$)",203.563953488372,0.13681892034858,172
"250","NE.CON.TETC.CN","Final consumption expenditure, etc. (current LCU)",192.236363636364,0.138034006042112,165
"774","NV.SRV.TETC.CN","Services, etc., value added (current LCU)",190.617469879518,0.138150059890115,166
"232","DT.DOD.DPNG.CD","External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",238.025641025641,0.139293209641996,78
"313","NE.GDI.TOTL.KD","Gross capital formation (constant 2000 US$)",195.503333333333,0.140349737796901,150
"708","SL.TLF.CACT.FM.ZS","Ratio of female to male labor force participation rate (%)",217.908045977011,0.143570763108188,174
"385","NE.IMP.GNFS.KD","Imports of goods and services (constant 2000 US$)",204.575657894737,0.144351509608332,152
"671","SH.PRG.ANEM","Prevalence of anemia among pregnant women (%)",222.6,0.144785285144367,170
"795","SP.DYN.TO65.FE.ZS","Survival to age 65, female (% of cohort)",198.385057471264,0.144942609157619,174
"461","SH.MMR.RISK.ZS","Lifetime risk of maternal death (%)",211.883720930233,0.146219038368105,172
"345","NY.GDP.FCST.CN","Gross value added at factor cost (current LCU)",196.590604026846,0.146589558048357,149
"748","SE.TER.ENRR","School enrollment, tertiary (% gross)",256.904761904762,0.147590162541484,42
"71","TM.TAX.MRCH.BR.ZS","Bound rate, simple mean, all products (%)",305.305555555556,0.14814575176291,36
"360","NE.CON.PRVT.CN","Household final consumption expenditure (current LCU)",202.542944785276,0.148630300750647,163
"727","SP.RUR.TOTL","Rural population",201.581395348837,0.148776638482822,172
"244","NE.CON.TOTL.CN","Final consumption expenditure (current LCU)",201.846625766871,0.149025186900884,163
"224","NE.EXP.GNFS.CD","Exports of goods and services (current US$)",216.303571428571,0.149818046678039,168
"371","NE.CON.PRVT.PP.CD","Household final consumption expenditure, PPP (current international $)",199.704697986577,0.150916220910778,149
"271","NY.GDP.DEFL.ZS","GDP deflator (base year varies by country)",222.777777777778,0.151245935890916,171
"451","SL.TLF.TOTL.IN","Labor force, total",213.161849710983,0.151625753250886,173
"239","SP.DYN.TFRT.IN","Fertility rate, total (births per woman)",207.56976744186,0.152357249180315,172
"286","NE.CON.GOVT.KD","General government final consumption expenditure (constant 2000 US$)",221.664429530201,0.152435252905932,149
"47","NV.AGR.TOTL.CD","Agriculture, value added (current US$)",219.351515151515,0.154045443953325,165
"28","SP.POP.DPND.OL","Age dependency ratio, old (% of working-age population)",216.040462427746,0.154238100175164,173
"478","NV.IND.MANF.CN","Manufacturing, value added (current LCU)",205.096273291925,0.154362841730531,161
"287","NE.CON.GOVT.KN","General government final consumption expenditure (constant LCU)",222.52027027027,0.154412305380934,148
"368","NE.CON.PETC.CN","Household final consumption expenditure, etc. (current LCU)",204.484662576687,0.154648778759372,163
"462","SH.MMR.RISK","Lifetime risk of maternal death (1 in: rate varies by country)",219.790697674419,0.154833066393803,172
"380","TM.VAL.MRCH.XD.WD","Import value index (2000 = 100)",209.877192982456,0.1552361470588,171
"328","NE.GDI.FPRV.CN","Gross fixed capital formation, private sector (current LCU)",227.826530612245,0.156211272726301,98
"381","TM.QTY.MRCH.XD.WD","Import volume index (2000 = 100)",211.152941176471,0.156242477832374,170
"520","SP.DYN.AMRT.MA","Mortality rate, adult, male (per 1,000 male adults)",219.206896551724,0.15721266944971,174
"387","NE.IMP.GNFS.CN","Imports of goods and services (current LCU)",217.384615384615,0.15723447564393,169
"526","NY.GDP.NGAS.RT.ZS","Natural gas rents (% of GDP)",271.065217391304,0.157247089031185,92
"320","NY.GDS.TOTL.CD","Gross domestic savings (current US$)",226.15243902439,0.157640067869139,164
"208","EG.USE.PCAP.KG.OE","Energy use (kg of oil equivalent per capita)",220.294117647059,0.159068261700932,136
"479","NV.IND.MANF.CD","Manufacturing, value added (current US$)",213.221875,0.159257975965743,160
"666","PA.NUS.PPPC.RF","PPP conversion factor (GDP) to market exchange rate ratio",245.907738095238,0.163018136684534,168
"651","SP.POP.TOTL.FE.ZS","Population, female (% of total)",219.672413793103,0.163303485315115,174
"887","SL.EMP.VULN.FE.ZS","Vulnerable employment, female (% of female employment)",271.88679245283,0.163864321703095,53
"643","SP.POP.1564.TO.ZS","Population ages 15-64 (% of total)",233.758620689655,0.164161979330143,174
"237","SH.DYN.AIDS.FE.ZS","Female adults with HIV (% of population ages 15+ with HIV)",216.009615384615,0.164168074563655,104
"485","TX.VAL.MRCH.WL.CD","Merchandise exports by the reporting economy (current US$)",236.242424242424,0.164506966639822,165
"396","SH.TBS.INCD","Incidence of tuberculosis (per 100,000 people)",217.43023255814,0.165575278101544,172
"523","SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)",203.789473684211,0.165995117136793,171
"458","SP.DYN.LE00.FE.IN","Life expectancy at birth, female (years)",223.456647398844,0.166410371716248,173
"450","SL.TLF.TOTL.FE.ZS","Labor force, female (% of total labor force)",229.705202312139,0.167052532315569,173
"231","DT.DOD.DLXF.CD","External debt stocks, long-term (DOD, current US$)",253.245454545455,0.16771847444147,110
"781","TM.TAX.TCOM.SR.ZS","Share of tariff lines with specific rates, primary products (%)",327.321428571429,0.168385582610385,28
"27","SP.POP.DPND","Age dependency ratio (% of working-age population)",230.867052023121,0.168489106380823,173
"29","SP.POP.DPND.YG","Age dependency ratio, young (% of working-age population)",227.838150289017,0.168955318064,173
"21","NY.ADJ.DFOR.CD","Adjusted savings: net forest depletion (current US$)",246.917475728155,0.168994522497464,103
"804","TM.TAX.MANF.SM.FN.ZS","Tariff rate, most favored nation, simple mean, manufactured products (%)",232.852941176471,0.169854983080402,34
"521","SP.DYN.IMRT.IN","Mortality rate, infant (per 1,000 live births)",201.432748538012,0.170157571511187,171
"605","NY.TAX.NIND.CD","Net taxes on products (current US$)",239.650684931507,0.170293274840621,146
"46","NV.AGR.TOTL.CN","Agriculture, value added (current LCU)",241.421686746988,0.171057892137793,166
"522","SH.DYN.NMRT","Mortality rate, neonatal (per 1,000 live births)",207.573099415205,0.171727261495746,171
"217","NY.EXP.CAPM.KN","Exports as a capacity to import (constant LCU)",240.581699346405,0.172784591185855,153
"436","IT.NET.USER.P2","Internet users (per 100 people)",238.878205128205,0.17279489264338,156
"676","SN.ITK.DEFC.ZS","Prevalence of undernourishment (% of population)",249.06,0.172800136132136,100
"807","TM.TAX.MANF.WM.FN.ZS","Tariff rate, most favored nation, weighted mean, manufactured products (%)",230.794117647059,0.173165760714157,34
"26","SP.ADO.TFRT","Adolescent fertility rate (births per 1,000 women ages 15-19)",228.442528735632,0.173668146623797,174
"519","SP.DYN.AMRT.FE","Mortality rate, adult, female (per 1,000 female adults)",226.931034482759,0.173792828948953,174
"229","NE.RSB.GNFS.CD","External balance on goods and services (current US$)",254.904761904762,0.174091275001482,168
"10","NY.ADJ.DKAP.GN.ZS","Adjusted savings: consumption of fixed capital (% of GNI)",250.155688622754,0.174727106773671,167
"484","TX.VAL.MRCH.CD.WT","Merchandise exports (current US$)",245.242603550296,0.175609005015293,169
"319","NY.GDS.TOTL.CN","Gross domestic savings (current LCU)",231.70303030303,0.175935746601602,165
"796","SP.DYN.TO65.MA.ZS","Survival to age 65, male (% of cohort)",217.35632183908,0.176088942332846,174
"453","SL.TLF.CACT.MA.ZS","Labor participation rate, male (% of male population ages 15+)",231.913793103448,0.176597969124501,174
"811","GC.TAX.TOTL.CN","Tax revenue (current LCU)",262.428571428571,0.176806933144956,105
"515","MS.MIL.XPND.CN","Military expenditure (current LCU)",248.015625,0.176926097448651,128
"779","TM.TAX.MRCH.SR.ZS","Share of tariff lines with specific rates, all products (%)",335.142857142857,0.177504133898337,28
"749","SE.TER.ENRR.FE","School enrollment, tertiary, female (% gross)",252.772727272727,0.177658096377633,44
"341","NY.GNS.ICTR.CN","Gross savings (current LCU)",248.136363636364,0.177722910766515,132
"439","IE.PPI.TRAN.CD","Investment in transport with private participation (current US$)",391,0.177827297282477,2
"206","EG.IMP.CONS.ZS","Energy imports, net (% of energy use)",263.48905109489,0.178098977070764,137
"482","SH.STA.MMRT","Maternal mortality ratio (modeled estimate, per 100,000 live births)",239.738372093023,0.17851944597989,172
"452","SL.TLF.CACT.FE.ZS","Labor participation rate, female (% of female population ages 15+)",233.787356321839,0.17866584615251,174
"674","SH.DYN.AIDS.ZS","Prevalence of HIV, total (% of population ages 15-49)",235.544444444444,0.17879631363712,90
"454","SL.TLF.CACT.ZS","Labor participation rate, total (% of total population ages 15+)",238.505747126437,0.17901065545745,174
"215","TX.VAL.MRCH.XD.WD","Export value index (2000 = 100)",235.491228070175,0.179271876974392,171
"604","NY.TAX.NIND.CN","Net taxes on products (current LCU)",238.321917808219,0.179939063315953,146
"222","NE.EXP.GNFS.KN","Exports of goods and services (constant LCU)",240.266233766234,0.180538869573124,154
"816","GC.TAX.GSRV.CN","Taxes on goods and services (current LCU)",277.794117647059,0.180711100089471,102
"230","DT.DOD.DECT.GN.ZS","External debt stocks (% of GNI)",268.556603773585,0.181045178670177,106
"342","NY.GNS.ICTR.CD","Gross savings (current US$)",240.856060606061,0.181056104292839,132
"347","SH.XPD.PCAP","Health expenditure per capita (current US$)",238.247023809524,0.181301327227314,168
"45","NV.AGR.TOTL.KN","Agriculture, value added (constant LCU)",251.888888888889,0.181363481835147,162
"221","NE.EXP.GNFS.KD","Exports of goods and services (constant 2000 US$)",240.388157894737,0.182815555576016,152
"667","PA.NUS.PPP","PPP conversion factor, GDP (LCU per international $)",248.830357142857,0.183829842161189,168
"118","EG.USE.CRNW.ZS","Combustible renewables and waste (% of total energy)",265.917293233083,0.184149321919344,133
"163","GC.TAX.IMPT.CN","Customs and other import duties (current LCU)",278.365853658537,0.18422459553651,82
"460","SP.DYN.LE00.IN","Life expectancy at birth, total (years)",232.104046242775,0.184800878894285,173
"44","NV.AGR.TOTL.KD","Agriculture, value added (constant 2000 US$)",256,0.185224461604507,156
"281","EG.GDP.PUSE.KO.PP","GDP per unit of energy use (PPP $ per kg of oil equivalent)",243.593984962406,0.185507782025365,133
"672","SH.HIV.1524.FE.ZS","Prevalence of HIV, female (% ages 15-24)",242.202898550725,0.186308178020646,69
"787","GC.REV.SOCL.CN","Social contributions (current LCU)",288.51282051282,0.187294338533616,78
"73","TM.TAX.TCOM.BR.ZS","Bound rate, simple mean, primary products (%)",324.972972972973,0.187304571995978,37
"546","DC.DAC.PRTL.CD","Net bilateral aid flows from DAC donors, Portugal (current US$)",240.875,0.189281333198778,8
"223","NE.EXP.GNFS.CN","Exports of goods and services (current LCU)",238.242603550296,0.189301535671249,169
"103","EN.ATM.CO2E.KT","CO2 emissions (kt)",248.604651162791,0.189769903056852,172
"682","SE.PRM.ENRL","Primary education, pupils",270.311111111111,0.189950599032864,45
"169","PA.NUS.ATLS","DEC alternative conversion factor (LCU per US$)",260.383647798742,0.190580918037573,159
"186","EG.ELC.RNWX.ZS","Electricity production from renewable sources, excluding hydroelectric (% of total)",295.466666666667,0.19069973928958,105
"801","TM.TAX.MANF.WM.AR.ZS","Tariff rate, applied, weighted mean, manufactured products (%)",266.411764705882,0.190737600447709,34
"641","SH.MED.PHYS.ZS","Physicians (per 1,000 people)",293.214285714286,0.191249071834119,14
"372","DT.DOD.MWBG.CD","IBRD loans and IDA credits (DOD, current US$)",266.080357142857,0.191668277297994,112
"188","SL.AGR.EMPL.FE.ZS","Employees, agriculture, female (% of female employment)",309.816666666667,0.191836473519643,60
"642","SP.POP.0014.TO.ZS","Population ages 0-14 (% of total)",235.787356321839,0.19219857747308,174
"711","SE.ENR.TERT.FM.ZS","Ratio of female to male tertiary enrollment (%)",266.5,0.192485457624066,44
"615","PA.NUS.FCRF","Official exchange rate (LCU per US$, period average)",268,0.192546275582885,158
"571","NY.GSR.NFCY.KN","Net income from abroad (constant LCU)",300.875,0.192745009131456,16
"165","SP.DYN.CDRT.IN","Death rate, crude (per 1,000 people)",242.346820809249,0.193580349154179,173
"130","FP.CPI.TOTL","Consumer price index (2005 = 100)",250.656050955414,0.194007615060865,157
"750","SE.TER.ENRR.MA","School enrollment, tertiary, male (% gross)",280.181818181818,0.194326072294623,44
"235","DT.DOD.DECT.CD","External debt stocks, total (DOD, current US$)",259.154545454545,0.194831052294078,110
"826","IT.MLT.MAIN.P2","Telephone lines (per 100 people)",248.899408284024,0.195365122975804,169
"558","FM.AST.DOMS.CN","Net domestic credit (current LCU)",235.918918918919,0.195534783040564,148
"49","IS.AIR.PSGR","Air transport, passengers carried",260.028368794326,0.195751990370887,141
"706","IS.RRS.GOOD.MT.K6","Railways, goods transported (million ton-km)",265.456140350877,0.195831549897545,57
"634","AG.LND.CROP.ZS","Permanent cropland (% of land area)",271.071428571429,0.195976063678354,168
"348","SH.XPD.PCAP.PP.KD","Health expenditure per capita, PPP (constant 2005 international $)",262.133928571429,0.196291033981015,168
"209","EG.USE.COMM.GD.PP.KD","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)",270,0.19668505447842,133
"459","SP.DYN.LE00.MA.IN","Life expectancy at birth, male (years)",240.404624277457,0.197202201825194,173
"134","SL.FAM.WORK.ZS","Contributing family workers, total (% of total employed)",294.606060606061,0.197713896170918,66
"740","SE.PRM.PRIV.ZS","School enrollment, primary, private (% of total primary)",260.833333333333,0.197875336294505,18
"24","NY.ADJ.DPEM.GN.ZS","Adjusted savings: particulate emission damage (% of GNI)",250.981481481481,0.198292723797139,162
"200","SL.EMP.TOTL.SP.FE.ZS","Employment to population ratio, 15+, female (%)",245.103448275862,0.198336215865332,174
"121","TX.VAL.SERV.CD.WT","Commercial service exports (current US$)",257.290322580645,0.199104998203327,155
"821","GC.TAX.INTT.CN","Taxes on international trade (current LCU)",284.539325842697,0.199124944450005,89
"390","SH.STA.ACSN","Improved sanitation facilities (% of population with access)",247.527397260274,0.199278414472085,146
"885","DT.DOD.DIMF.CD","Use of IMF credit (DOD, current US$)",266.172727272727,0.200456732831494,110
"191","SL.IND.EMPL.MA.ZS","Employees, industry, male (% of male employment)",288.72131147541,0.20105919615889,61
"393","SH.H2O.SAFE.ZS","Improved water source (% of population with access)",243.97602739726,0.201833396721112,146
"723","GC.REV.XGRT.CN","Revenue, excluding grants (current LCU)",274.557692307692,0.201887790658031,104
"751","IP.JRN.ARTC.SC","Scientific and technical journal articles",266.630952380952,0.202017918670199,168
"5","NY.ADJ.SVNX.CD","Adjusted net savings, excluding particulate emission damage (current US$)",268.966417910448,0.202463448371029,134
"768","BX.GSR.NFSV.CD","Service exports (BoP, current US$)",257.748387096774,0.202564230463566,155
"847","FI.RES.XGLD.CD","Total reserves minus gold (current US$)",256.934375,0.202730885983746,160
"198","SL.IND.EMPL.ZS","Employment in industry (% of total employment)",277.787878787879,0.202839701688901,66
"673","SH.HIV.1524.MA.ZS","Prevalence of HIV, male (% ages 15-24)",243.226666666667,0.202984563788854,75
"187","EG.ELC.RNWX.KH","Electricity production from renewable sources, excluding hydroelectric (kWh)",288.604761904762,0.203006154044645,105
"104","EN.ATM.CO2E.PC","CO2 emissions (metric tons per capita)",255.309941520468,0.203086100945881,171
"337","NE.DAB.DEFL.ZS","Gross national expenditure deflator (base year varies by country)",258.267973856209,0.204014423019161,153
"220","BX.GSR.GNFS.CD","Exports of goods and services (BoP, current US$)",249.198717948718,0.204381831738521,156
"474","NV.IND.MANF.ZS","Manufacturing, value added (% of GDP)",280.333333333333,0.204407025051585,159
"321","NE.GDI.FTOT.ZS","Gross fixed capital formation (% of GDP)",272.138888888889,0.205032755058542,162
"228","NE.RSB.GNFS.CN","External balance on goods and services (current LCU)",263.520710059172,0.205178973461385,169
"890","SL.EMP.WORK.FE.ZS","Wage and salaried workers, female (% of females employed)",298.553846153846,0.205471257363655,65
"435","IT.NET.USER","Internet users",239.886363636364,0.205742332551013,44
"686","SE.PRM.AGES","Primary school starting age (years)",290.474358974359,0.206016355697411,39
"455","AG.LND.TOTL.K2","Land area (sq. km)",305.670212765957,0.207812418310438,47
"7","NY.ADJ.SVNG.CD","Adjusted net savings, including particulate emission damage (current US$)",272.778195488722,0.208057378564039,133
"845","FI.RES.TOTL.CD","Total reserves (includes gold, current US$)",263.565625,0.208073041340173,160
"806","TM.TAX.MRCH.WM.FN.ZS","Tariff rate, most favored nation, weighted mean, all products (%)",330.735294117647,0.208109725863047,34
"528","DC.DAC.AUSL.CD","Net bilateral aid flows from DAC donors, Australia (current US$)",293.466666666667,0.208354531643358,45
"765","SL.EMP.SELF.FE.ZS","Self-employed, female (% of females employed)",301.261538461538,0.20881253726925,65
"419","GC.XPN.INTP.ZS","Interest payments (% of expense)",299.151515151515,0.209357510090493,99
"214","GC.XPN.TOTL.CN","Expense (current LCU)",283.061224489796,0.209760686601706,98
"182","EG.ELC.NGAS.ZS","Electricity production from natural gas sources (% of total)",280.456310679612,0.20998623539809,103
"767","SL.EMP.SELF.ZS","Self-employed, total (% of total employed)",288.077464788732,0.211139882315543,71
"216","TX.QTY.MRCH.XD.WD","Export volume index (2000 = 100)",259.059171597633,0.211185124817456,169
"202","SL.EMP.TOTL.SP.ZS","Employment to population ratio, 15+, total (%)",257,0.211688489824013,174
